kernel,representation,preset,n,bimodal_suspect,median_ns,mean_ns,sd_ns,rsd_pct,min_ns,max_ns,max_over_min
wf_diff_skew,c_reference,M,30,no,59600011,59664105,160577,0.269,59455983,60075900,1.01
wf_diff_skew,cpp,M,30,no,59798898,59761980,166495,0.279,59332464,60106457,1.013
wf_diff_skew,fortran,M,30,no,59702119,59726253,223903,0.375,59469743,60735785,1.021
wf_diff_skew,numba,M,30,no,61139947,61308603,902532,1.472,60938819,66016743,1.083
wf_triangular,agent,M,30,no,153742316,154515682,2821130,1.826,150264605,161281111,1.073
wf_triangular,c,M,30,no,99173601,99313533,853393,0.859,98310557,103499348,1.053
wf_triangular,c_reference,M,30,no,99263401,99245668,441697,0.445,98309784,99970466,1.017
wf_triangular,cpp,M,30,no,99175518,99315802,749406,0.755,97902312,102229532,1.044
wf_triangular,fortran,M,30,no,99088479,99097600,346174,0.349,98081247,99629133,1.016
wf_triangular,numba,M,30,no,375555594,375586405,436236,0.116,374343281,376804866,1.007
